m1_w_val;m2_w_val;gain_passband_db;fc_l;fc_u;gbw
5e-07;5e-07;24.5815;28614.07;2338135000.0;1387988.0
5e-07;1.5555555555555556e-06;24.01644;26899.17;2642143000.0;1563371.0
5e-07;2.6111111111111113e-06;23.8445;26390.11;2448168000.0;1447594.0
5e-07;3.666666666666667e-06;23.74499;26094.7;2243962000.0;1326582.0
5e-07;4.722222222222223e-06;23.67143;25875.19;2069970000.0;1223694.0
5e-07;5.777777777777779e-06;23.60971;25690.43;1925214000.0;1138185.0
5e-07;6.8333333333333345e-06;23.55406;25523.81;1804092000.0;1066683.0
5e-07;7.88888888888889e-06;23.50172;25367.39;1701546000.0;1006173.0
5e-07;8.944444444444446e-06;23.45122;25216.96;1613655000.0;954325.9
5e-07;1e-05;23.40174;25070.29;1537460000.0;909388.0
1.5555555555555556e-06;5e-07;24.56062;28529.93;2238758000.0;1329714.0
1.5555555555555556e-06;1.5555555555555556e-06;24.43724;28136.87;3102548000.0;1842165.0
1.5555555555555556e-06;2.6111111111111113e-06;24.28839;27672.64;3235474000.0;1920134.0
1.5555555555555556e-06;3.666666666666667e-06;24.15859;27272.6;3201040000.0;1898971.0
1.5555555555555556e-06;4.722222222222223e-06;24.04313;26920.43;3117477000.0;1848852.0
1.5555555555555556e-06;5.777777777777779e-06;23.93784;26602.27;3021044000.0;1791243.0
1.5555555555555556e-06;6.8333333333333345e-06;23.84;26309.25;2924586000.0;1733723.0
1.5555555555555556e-06;7.88888888888889e-06;23.74782;26035.52;2832806000.0;1679054.0
1.5555555555555556e-06;8.944444444444446e-06;23.66007;25777.18;2747261000.0;1628139.0
1.5555555555555556e-06;1e-05;23.57589;25531.36;2668207000.0;1581115.0
2.6111111111111113e-06;5e-07;24.16489;27311.51;2042368000.0;1210744.0
2.6111111111111113e-06;1.5555555555555556e-06;24.3402;27823.21;3066200000.0;1820652.0
2.6111111111111113e-06;2.6111111111111113e-06;24.27158;27603.83;3381948000.0;2008174.0
2.6111111111111113e-06;3.666666666666667e-06;24.17281;27296.72;3482707000.0;2067625.0
2.6111111111111113e-06;4.722222222222223e-06;24.07005;26981.5;3495261000.0;2074633.0
2.6111111111111113e-06;5.777777777777779e-06;23.96895;26674.85;3467557000.0;2057758.0
2.6111111111111113e-06;6.8333333333333345e-06;23.87084;26380.34;3420923000.0;2029690.0
2.6111111111111113e-06;7.88888888888889e-06;23.77591;26098.23;3365737000.0;1996591.0
2.6111111111111113e-06;8.944444444444446e-06;23.68397;25827.68;3307369000.0;1961647.0
2.6111111111111113e-06;1e-05;23.59476;25567.57;3248663000.0;1926540.0
3.666666666666667e-06;5e-07;23.83346;26330.55;1876349000.0;1110571.0
3.666666666666667e-06;1.5555555555555556e-06;24.17777;27318.66;2952104000.0;1752201.0
3.666666666666667e-06;2.6111111111111113e-06;24.17263;27290.81;3370127000.0;2001179.0
3.666666666666667e-06;3.666666666666667e-06;24.10442;27077.03;3562667000.0;2115534.0
3.666666666666667e-06;4.722222222222223e-06;24.01835;26813.04;3649756000.0;2167008.0
3.666666666666667e-06;5.777777777777779e-06;23.92689;26536.22;3681300000.0;2185407.0
3.666666666666667e-06;6.8333333333333345e-06;23.8344;26259.42;3681727000.0;2185304.0
3.666666666666667e-06;7.88888888888889e-06;23.74261;25987.61;3664144000.0;2174513.0
3.666666666666667e-06;8.944444444444446e-06;23.65222;25722.67;3636040000.0;2157492.0
3.666666666666667e-06;1e-05;23.56347;25465.04;3601906000.0;2136913.0
4.722222222222223e-06;5e-07;23.56695;25565.39;1741273000.0;1029392.0
4.722222222222223e-06;1.5555555555555556e-06;24.00748;26800.94;2830414000.0;1679181.0
4.722222222222223e-06;2.6111111111111113e-06;24.05022;26912.96;3308703000.0;1964410.0
4.722222222222223e-06;3.666666666666667e-06;24.00778;26777.04;3563905000.0;2116301.0
4.722222222222223e-06;4.722222222222223e-06;23.93722;26560.78;3706856000.0;2201158.0
4.722222222222223e-06;5.777777777777779e-06;23.85573;26315.17;3786081000.0;2247997.0
4.722222222222223e-06;6.8333333333333345e-06;23.76992;26059.76;3826650000.0;2271802.0
4.722222222222223e-06;7.88888888888889e-06;23.68268;25802.89;3842805000.0;2281076.0
4.722222222222223e-06;8.944444444444446e-06;23.5954;25548.58;3843127000.0;2280939.0
4.722222222222223e-06;1e-05;23.50879;25298.75;3833012000.0;2274607.0
5.777777777777779e-06;5e-07;23.348;24951.42;1630015000.0;962752.9
5.777777777777779e-06;1.5555555555555556e-06;23.84212;26307.56;2716698000.0;1610980.0
5.777777777777779e-06;2.6111111111111113e-06;23.92108;26521.2;3231978000.0;1918462.0
5.777777777777779e-06;3.666666666666667e-06;23.89991;26448.32;3530970000.0;2096604.0
5.777777777777779e-06;4.722222222222223e-06;23.84296;26273.6;3715984000.0;2206620.0
5.777777777777779e-06;5.777777777777779e-06;23.77072;26056.92;3833147000.0;2276114.0
5.777777777777779e-06;6.8333333333333345e-06;23.69147;25822.53;3907112000.0;2319832.0
5.777777777777779e-06;7.88888888888889e-06;23.60902;25581.47;3952397000.0;2346455.0
5.777777777777779e-06;8.944444444444446e-06;23.52531;25339.3;3978061000.0;2361393.0
5.777777777777779e-06;1e-05;23.44139;25098.98;3990015000.0;2368176.0
6.8333333333333345e-06;5e-07;23.16303;24442.36;1536753000.0;907048.7
6.8333333333333345e-06;1.5555555555555556e-06;23.68465;25845.78;2614006000.0;1549432.0
6.8333333333333345e-06;2.6111111111111113e-06;23.79123;26133.51;3152588000.0;1870921.0
6.8333333333333345e-06;3.666666666666667e-06;23.78759;26111.24;3482927000.0;2067861.0
6.8333333333333345e-06;4.722222222222223e-06;23.74243;25972.04;3700031000.0;2197082.0
6.8333333333333345e-06;5.777777777777779e-06;23.67854;25781.34;3847477000.0;2284671.0
6.8333333333333345e-06;6.8333333333333345e-06;23.60542;25566.5;3949098000.0;2344894.0
6.8333333333333345e-06;7.88888888888889e-06;23.52763;25340.81;4019234000.0;2386330.0
6.8333333333333345e-06;8.944444444444446e-06;23.44753;25110.91;4067097000.0;2414487.0
6.8333333333333345e-06;1e-05;23.36645;24880.56;4098837000.0;2433040.0
7.88888888888889e-06;5e-07;23.00263;24007.65;1457320000.0;859713.9
7.88888888888889e-06;1.5555555555555556e-06;23.53528;25414.8;2522057000.0;1494359.0
7.88888888888889e-06;2.6111111111111113e-06;23.66304;25756.38;3075498000.0;1824765.0
7.88888888888889e-06;3.666666666666667e-06;23.67394;25775.0;3428719000.0;2035427.0
7.88888888888889e-06;4.722222222222223e-06;23.63897;25666.0;3670671000.0;2179524.0
7.88888888888889e-06;5.777777777777779e-06;23.58253;25498.19;3842510000.0;2281696.0
7.88888888888889e-06;6.8333333333333345e-06;23.51506;25301.39;3967082000.0;2355624.0
7.88888888888889e-06;7.88888888888889e-06;23.44167;25090.11;4058384000.0;2409685.0
7.88888888888889e-06;8.944444444444446e-06;23.36507;24872.06;4125573000.0;2449359.0
7.88888888888889e-06;1e-05;23.28682;24651.6;4174871000.0;2478365.0
8.944444444444446e-06;5e-07;22.86038;23627.23;1388714000.0;818909.3
8.944444444444446e-06;1.5555555555555556e-06;23.39344;25011.77;2439706000.0;1445068.0
8.944444444444446e-06;2.6111111111111113e-06;23.53747;25392.18;3002595000.0;1781125.0
8.944444444444446e-06;3.666666666666667e-06;23.56048;25443.81;3372810000.0;2001975.0
8.944444444444446e-06;4.722222222222223e-06;23.53434;25360.51;3634266000.0;2157751.0
8.944444444444446e-06;5.777777777777779e-06;23.48456;25212.99;3825925000.0;2271777.0
8.944444444444446e-06;6.8333333333333345e-06;23.42226;25032.54;3969657000.0;2357150.0
8.944444444444446e-06;7.88888888888889e-06;23.35296;24834.63;4079045000.0;2422005.0
8.944444444444446e-06;8.944444444444446e-06;23.2797;24627.85;4163038000.0;2471697.0
8.944444444444446e-06;1e-05;23.20421;24416.99;4227855000.0;2509948.0
1e-05;5e-07;22.73178;23287.32;1328767000.0;783311.9
1e-05;1.5555555555555556e-06;23.25833;24633.31;2365714000.0;1400807.0
1e-05;2.6111111111111113e-06;23.41485;25041.39;2934466000.0;1740352.0
1e-05;3.666666666666667e-06;23.44799;25119.77;3317474000.0;1968868.0
1e-05;4.722222222222223e-06;23.42955;25058.43;3594416000.0;2133917.0
1e-05;5.777777777777779e-06;23.38572;24928.82;3802344000.0;2257674.0
1e-05;6.8333333333333345e-06;23.32813;24763.14;3962189000.0;2352677.0
1e-05;7.88888888888889e-06;23.26265;24577.64;4087064000.0;2426777.0
1e-05;8.944444444444446e-06;23.19253;24381.43;4185718000.0;2485215.0
1e-05;1e-05;23.11969;24179.77;4264255000.0;2531643.0
